"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.144","18.65.64.96","TCP","55","55183  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"2","0.045820","18.65.64.96","192.168.43.144","TCP","66","443  >  55183 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"3","1.615661","192.168.43.144","35.186.224.25","QUIC","1292","Initial, DCID=21c558bfea7d18df, PKN: 1, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PING, CRYPTO, CRYPTO"
"4","1.664667","149.154.167.92","192.168.43.144","HTTP","305","HTTP/1.1 200 OK "
"5","1.668499","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=1 Ack=252 Win=513 Len=227 [TCP segment of a reassembled PDU]"
"6","1.707974","35.186.224.25","192.168.43.144","QUIC","1292","Protected Payload (KP0)"
"7","1.710323","192.168.43.144","35.186.224.25","QUIC","1292","Handshake, DCID=21c558bfea7d18df"
"8","1.721787","192.168.43.144","35.186.224.25","QUIC","125","Handshake, DCID=21c558bfea7d18df"
"9","1.721976","192.168.43.144","35.186.224.25","QUIC","113","Protected Payload (KP0), DCID=21c558bfea7d18df"
"10","1.722370","192.168.43.144","35.186.224.25","QUIC","1053","Protected Payload (KP0), DCID=21c558bfea7d18df"
"11","1.722543","192.168.43.144","35.186.224.25","QUIC","228","Protected Payload (KP0), DCID=21c558bfea7d18df"
"12","1.747182","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=252 Ack=228 Win=30837 Len=0"
"13","1.747333","192.168.43.144","149.154.167.92","HTTP","302","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"14","1.781003","35.186.224.25","192.168.43.144","QUIC","560","Protected Payload (KP0)"
"15","1.781003","35.186.224.25","192.168.43.144","QUIC","163","Protected Payload (KP0)"
"16","1.781003","35.186.224.25","192.168.43.144","QUIC","69","Protected Payload (KP0)"
"17","1.781652","35.186.224.25","192.168.43.144","QUIC","69","Protected Payload (KP0)"
"18","1.781916","192.168.43.144","35.186.224.25","QUIC","75","Protected Payload (KP0), DCID=21c558bfea7d18df"
"19","1.782217","192.168.43.144","35.186.224.25","QUIC","75","Protected Payload (KP0), DCID=21c558bfea7d18df"
"20","1.797690","35.186.224.25","192.168.43.144","QUIC","785","Protected Payload (KP0)"
"21","1.798505","192.168.43.144","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=21c558bfea7d18df"
"22","1.824361","35.186.224.25","192.168.43.144","QUIC","290","Protected Payload (KP0)"
"23","1.824361","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=252 Ack=476 Win=30837 Len=0"
"24","1.825340","192.168.43.144","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=21c558bfea7d18df"
"25","1.855463","192.168.43.144","35.186.224.25","QUIC","196","Protected Payload (KP0), DCID=21c558bfea7d18df"
"26","1.865602","35.186.224.25","192.168.43.144","QUIC","67","Protected Payload (KP0)"
"27","1.896335","35.186.224.25","192.168.43.144","QUIC","67","Protected Payload (KP0)"
"28","1.916857","35.186.224.25","192.168.43.144","QUIC","69","Protected Payload (KP0)"
"29","1.953348","35.186.224.25","192.168.43.144","QUIC","350","Protected Payload (KP0)"
"30","1.954009","192.168.43.144","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=21c558bfea7d18df"
"31","2.019536","35.186.224.25","192.168.43.144","QUIC","67","Protected Payload (KP0)"
"32","2.843623","192.168.43.144","35.186.224.25","QUIC","538","Protected Payload (KP0), DCID=21c558bfea7d18df"
"33","2.897766","35.186.224.25","192.168.43.144","QUIC","69","Protected Payload (KP0)"
"34","2.929170","192.168.43.144","35.186.224.25","QUIC","75","Protected Payload (KP0), DCID=21c558bfea7d18df"
"35","2.946538","35.186.224.25","192.168.43.144","QUIC","646","Protected Payload (KP0)"
"36","2.947333","192.168.43.144","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=21c558bfea7d18df"
"37","3.020687","35.186.224.25","192.168.43.144","QUIC","67","Protected Payload (KP0)"
"38","4.249017","149.154.167.92","192.168.43.144","HTTP","305","HTTP/1.1 200 OK "
"39","4.251170","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=476 Ack=503 Win=512 Len=227 [TCP segment of a reassembled PDU]"
"40","4.327321","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=503 Ack=703 Win=30837 Len=0"
"41","4.327417","192.168.43.144","149.154.167.92","HTTP","318","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"42","4.404624","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=503 Ack=967 Win=30837 Len=0"
"43","5.192263","151.5.24.153","192.168.43.144","TLSv1.2","78","Application Data"
"44","5.192263","95.101.34.50","192.168.43.144","TLSv1.2","78","Application Data"
"45","5.192263","95.101.34.50","192.168.43.144","TCP","54","443  >  55214 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0"
"46","5.192263","151.5.24.153","192.168.43.144","TCP","54","443  >  55211 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0"
"47","5.192540","192.168.43.144","151.5.24.153","TCP","54","55211  >  443 [ACK] Seq=1 Ack=25 Win=1021 Len=0"
"48","5.192624","192.168.43.144","95.101.34.50","TCP","54","55214  >  443 [ACK] Seq=1 Ack=25 Win=1023 Len=0"
"49","5.192657","192.168.43.144","95.101.34.50","TCP","54","55214  >  443 [ACK] Seq=1 Ack=26 Win=1023 Len=0"
"50","5.192683","192.168.43.144","151.5.24.153","TCP","54","55211  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0"
"51","5.192837","151.5.24.153","192.168.43.144","TLSv1.2","78","Application Data"
"52","5.192837","151.5.24.153","192.168.43.144","TCP","54","443  >  55212 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0"
"53","5.192986","192.168.43.144","151.5.24.153","TCP","54","55212  >  443 [ACK] Seq=1 Ack=25 Win=1021 Len=0"
"54","5.193042","192.168.43.144","151.5.24.153","TCP","54","55212  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0"
"55","14.411613","149.154.167.92","192.168.43.144","HTTP","337","HTTP/1.1 200 OK "
"56","14.415055","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=967 Ack=786 Win=511 Len=227 [TCP segment of a reassembled PDU]"
"57","14.553265","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=786 Ack=1194 Win=30837 Len=0"
"58","14.553339","192.168.43.144","149.154.167.92","HTTP","414","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"59","14.636460","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=786 Ack=1554 Win=30914 Len=0"
