"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.144","67.27.242.126","TCP","66","57252  >  80 [ACK] Seq=1 Ack=1 Win=10 Len=0 TSval=280056673 TSecr=2544178331"
"2","0.000000","192.168.43.144","8.253.198.121","TCP","66","57264  >  80 [ACK] Seq=1 Ack=1 Win=10 Len=0 TSval=280056673 TSecr=1470538567"
"3","0.000007","192.168.43.144","8.253.198.120","TCP","66","57271  >  80 [ACK] Seq=1 Ack=1 Win=10 Len=0 TSval=280056673 TSecr=3421614318"
"4","0.007648","8.253.198.121","192.168.43.144","TCP","1394","80  >  57258 [ACK] Seq=1 Ack=1 Win=11 Len=1328 TSval=1470517517 TSecr=280056582"
"5","0.007648","34.158.0.131","192.168.43.144","TCP","54","4070  >  55816 [ACK] Seq=1 Ack=1 Win=16 Len=0"
"6","0.007648","34.158.0.131","192.168.43.144","TCP","65","4070  >  55816 [PSH, ACK] Seq=1 Ack=1 Win=16 Len=11"
"7","0.007860","67.27.242.126","192.168.43.144","TCP","1394","80  >  57213 [ACK] Seq=1 Ack=1 Win=11 Len=1328 TSval=2544165559 TSecr=280056536"
"8","0.007971","8.238.153.254","192.168.43.144","TCP","1394","80  >  57242 [ACK] Seq=1 Ack=1 Win=11 Len=1328 TSval=1686518766 TSecr=280056536"
"9","0.019108","8.253.198.120","192.168.43.144","TCP","1394","80  >  57271 [ACK] Seq=1 Ack=1 Win=11 Len=1328 TSval=3421614318 TSecr=280056582"
"10","0.031174","192.168.43.144","151.5.24.153","TCP","54","56802  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1021 Len=0"
"11","0.061335","192.168.43.144","8.253.198.121","TCP","66","57258  >  80 [ACK] Seq=1 Ack=1329 Win=10 Len=0 TSval=280056735 TSecr=1470517517"
"12","0.061366","192.168.43.144","34.158.0.131","TCP","54","55816  >  4070 [ACK] Seq=1 Ack=12 Win=513 Len=0"
"13","0.061366","192.168.43.144","8.253.198.120","TCP","66","57271  >  80 [ACK] Seq=1 Ack=1329 Win=10 Len=0 TSval=280056735 TSecr=3421614318"
"14","0.061367","192.168.43.144","67.27.242.126","TCP","66","57213  >  80 [ACK] Seq=1 Ack=1329 Win=10 Len=0 TSval=280056735 TSecr=2544165559"
"15","0.061391","192.168.43.144","8.238.153.254","TCP","66","57242  >  80 [ACK] Seq=1 Ack=1329 Win=10 Len=0 TSval=280056735 TSecr=1686518766"
"16","0.081218","8.253.198.121","192.168.43.144","TCP","1394","80  >  57264 [ACK] Seq=1 Ack=1 Win=11 Len=1328 TSval=1470538567 TSecr=280056673"
"17","0.120427","67.27.242.126","192.168.43.144","TCP","1394","80  >  57252 [ACK] Seq=1 Ack=1 Win=11 Len=1328 TSval=2544178331 TSecr=280056673"
