"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.51","80.67.66.122","TCP","54","53868  >  443 [FIN, ACK] Seq=1 Ack=1 Win=509 Len=0"
"2","0.022886","80.67.66.122","192.168.1.51","TLSv1.2","78","Application Data"
"3","0.022886","80.67.66.122","192.168.1.51","TCP","60","443  >  53868 [FIN, ACK] Seq=25 Ack=2 Win=501 Len=0"
"4","0.023041","192.168.1.51","80.67.66.122","TCP","54","53868  >  443 [RST, ACK] Seq=2 Ack=25 Win=0 Len=0"
"5","3.321963","fe80::671:53ff:fe9a:26d0","2001:b07:6478:9e32:6c05:caa8:f374:b02f","ICMPv6","86","Neighbor Solicitation for 2001:b07:6478:9e32:6c05:caa8:f374:b02f from 04:71:53:9a:26:d0"
"6","3.321963","fe80::671:53ff:fe9a:26d0","fe80::b5e0:5bf:9ada:729e","ICMPv6","86","Neighbor Solicitation for fe80::b5e0:5bf:9ada:729e from 04:71:53:9a:26:d0"
"7","3.321963","fe80::671:53ff:fe9a:26d0","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","ICMPv6","86","Neighbor Solicitation for 2001:b07:6478:9e32:7d32:93df:1b6c:40c5 from 04:71:53:9a:26:d0"
"8","3.322140","2001:b07:6478:9e32:6c05:caa8:f374:b02f","fe80::671:53ff:fe9a:26d0","ICMPv6","86","Neighbor Advertisement 2001:b07:6478:9e32:6c05:caa8:f374:b02f (sol, ovr) is at 7c:21:4a:61:e0:68"
"9","3.322193","fe80::b5e0:5bf:9ada:729e","fe80::671:53ff:fe9a:26d0","ICMPv6","86","Neighbor Advertisement fe80::b5e0:5bf:9ada:729e (sol, ovr) is at 7c:21:4a:61:e0:68"
"10","3.322224","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","fe80::671:53ff:fe9a:26d0","ICMPv6","86","Neighbor Advertisement 2001:b07:6478:9e32:7d32:93df:1b6c:40c5 (sol, ovr) is at 7c:21:4a:61:e0:68"
"11","3.574188","192.168.1.51","20.54.37.73","TLSv1.2","155","Application Data"
"12","3.616544","20.54.37.73","192.168.1.51","TLSv1.2","225","Application Data"
"13","3.617680","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","2001:b07:6478:9e32:671:53ff:fe9a:26d0","DNS","94","Standard query 0x3d6d A assets.msn.com"
"14","3.617755","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","2001:b07:6478:9e32:671:53ff:fe9a:26d0","DNS","94","Standard query 0xe871 AAAA assets.msn.com"
"15","3.624746","2001:b07:6478:9e32:671:53ff:fe9a:26d0","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","DNS","171","Standard query response 0xe871 AAAA assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net"
"16","3.629033","2001:b07:6478:9e32:671:53ff:fe9a:26d0","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","DNS","288","Standard query response 0x3d6d A assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net A 80.67.66.123 A 80.67.66.146 A 80.67.66.74 A 80.67.66.136 A 80.67.66.154"
"17","3.630355","192.168.1.51","80.67.66.123","TCP","66","53879  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"18","3.648415","80.67.66.123","192.168.1.51","TCP","66","443  >  53879 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"19","3.648602","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"20","3.649902","192.168.1.51","80.67.66.123","TLSv1.3","633","Client Hello"
"21","3.666509","192.168.1.51","20.54.37.73","TCP","54","49415  >  443 [ACK] Seq=102 Ack=172 Win=254 Len=0"
"22","3.669948","80.67.66.123","192.168.1.51","TCP","60","443  >  53879 [ACK] Seq=1 Ack=580 Win=64128 Len=0"
"23","3.669948","80.67.66.123","192.168.1.51","TLSv1.3","318","Server Hello, Change Cipher Spec, Application Data, Application Data"
"24","3.670039","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=580 Ack=265 Win=261632 Len=0"
"25","3.671791","192.168.1.51","80.67.66.123","TLSv1.3","134","Change Cipher Spec, Application Data"
"26","3.676486","192.168.1.51","80.67.66.123","TLSv1.3","134","Application Data"
"27","3.684051","192.168.1.51","80.67.66.123","TLSv1.3","1507","Application Data"
"28","3.687720","80.67.66.123","192.168.1.51","TCP","60","443  >  53879 [ACK] Seq=265 Ack=660 Win=64128 Len=0"
"29","3.687720","80.67.66.123","192.168.1.51","TLSv1.3","325","Application Data"
"30","3.687793","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2193 Ack=536 Win=261376 Len=0"
"31","3.693404","80.67.66.123","192.168.1.51","TCP","60","443  >  53879 [ACK] Seq=536 Ack=740 Win=64128 Len=0"
"32","3.693404","80.67.66.123","192.168.1.51","TLSv1.3","124","Application Data"
"33","3.693496","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2193 Ack=606 Win=261376 Len=0"
"34","3.693567","192.168.1.51","80.67.66.123","TLSv1.3","85","Application Data"
